Sexo;Idade;Raça;Escolaridade;Rendimento mensal;Horas trabalhadas por semana;Região do domicílio;Número de pessoas no domicílio
Mulher;29;Parda;Médio completo ou equivalente;1045;40;Urbana;9
Homem;22;Parda;Médio completo ou equivalente;500;20;Urbana;3
Mulher;28;Branca;Médio completo ou equivalente;2000;42;Urbana;8
Mulher;46;Parda;Médio completo ou equivalente;1400;36;Urbana;2
Homem;68;Branca;Fundamental incompleto ou equivalente;1045;40;Urbana;3
Homem;37;Parda;Médio completo ou equivalente;1500;40;Urbana;3
Homem;42;Parda;Superior incompleto ou equivalente;3000;44;Urbana;6
Mulher;24;Branca;Superior completo;2000;20;Urbana;3
Homem;52;Parda;Sem instrução e menos de 1 ano de estudo;50;44;Rural;2
Homem;44;Preta;Fundamental incompleto ou equivalente;4000;40;Urbana;4
Homem;56;Parda;Superior completo;20000;40;Urbana;3
Mulher;23;Branca;Médio completo ou equivalente;1000;14;Urbana;2
Mulher;26;Branca;Superior completo;1045;20;Urbana;2
Mulher;46;Branca;Superior completo;8000;30;Urbana;5
Mulher;29;Branca;Médio completo ou equivalente;1000;50;Rural;4
Homem;53;Branca;Fundamental incompleto ou equivalente;1045;40;Urbana;2
Mulher;19;Preta;Fundamental incompleto ou equivalente;700;20;Urbana;4
Homem;71;Preta;Fundamental incompleto ou equivalente;1700;50;Urbana;1
Mulher;36;Branca;Médio completo ou equivalente;800;44;Urbana;2
Homem;61;Parda;Fundamental incompleto ou equivalente;400;18;Urbana;6
Homem;51;Parda;Fundamental incompleto ou equivalente;1800;48;Urbana;5
Homem;31;Branca;Fundamental completo ou equivalente;1300;44;Urbana;3
Mulher;44;Branca;Superior completo;2500;40;Urbana;3
Homem;57;Preta;Fundamental incompleto ou equivalente;2000;44;Urbana;3
Mulher;48;Branca;Superior completo;7200;40;Urbana;4
Homem;28;Parda;Fundamental incompleto ou equivalente;1045;60;Rural;2
Mulher;41;Branca;Médio completo ou equivalente;1045;44;Urbana;5
Homem;54;Preta;Fundamental incompleto ou equivalente;1700;44;Urbana;1
Homem;44;Branca;Fundamental incompleto ou equivalente;1200;40;Urbana;2
